time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-28 00:00:00+00:00,46,16,0,0
2026-04-29 00:00:00+00:00,18,9,0,0
2026-04-30 00:00:00+00:00,37,13,0,0
2026-05-01 00:00:00+00:00,40,18,0,0
2026-05-02 00:00:00+00:00,50,12,36,2
2026-05-03 00:00:00+00:00,6,5,1,1
2026-05-04 00:00:00+00:00,21,7,0,0
2026-05-05 00:00:00+00:00,33,11,0,0
2026-05-06 00:00:00+00:00,20,7,0,0
2026-05-07 00:00:00+00:00,24,10,0,0
2026-05-08 00:00:00+00:00,23,13,0,0
2026-05-09 00:00:00+00:00,4,4,0,0
2026-05-10 00:00:00+00:00,20,11,0,0
2026-05-11 00:00:00+00:00,8,3,0,0
