time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,33,11,0,0
2026-05-06 00:00:00+00:00,20,7,0,0
2026-05-07 00:00:00+00:00,24,10,0,0
2026-05-08 00:00:00+00:00,23,13,0,0
2026-05-09 00:00:00+00:00,4,4,0,0
2026-05-10 00:00:00+00:00,20,11,0,0
2026-05-11 00:00:00+00:00,8,3,0,0
2026-05-12 00:00:00+00:00,20,8,0,0
2026-05-13 00:00:00+00:00,25,6,13,1
2026-05-14 00:00:00+00:00,33,8,0,0
2026-05-15 00:00:00+00:00,44,17,0,0
2026-05-16 00:00:00+00:00,18,9,0,0
2026-05-17 00:00:00+00:00,20,6,0,0
2026-05-18 00:00:00+00:00,23,10,0,0
